title,Topic,article,keywords
"Live updates: Israel-Hamas war rages, hostages talks, Gaza crisis",israel conflict,"Bill Burns, director of the CIA, is expected to meet with officials from Israel, Egypt and Qatar to discuss a deal to secure the release of remaining hostages held by Hamas, according to a US official familiar with the plans.

The meetings come amid intensive discussions on the parameters of a new deal that would pair hostages’ release with a cessation in the fighting in Gaza. The meetings are expected to be held in Europe, the official said.

US officials said they remain focused on securing a release of hostages after a leaked recording said to be of Israeli Prime Minister Benjamin Netanyahu criticizing Qatar drew anger from the Gulf state.

Here's what else you need to know:","['expected', 'war', 'held', 'deal', 'rages', 'stateheres', 'officials', 'release', 'hostages', 'qatar', 'meetings', 'updates', 'crisis', 'live', 'israelhamas', 'gaza', 'official', 'talks']"
"January 25, 2024 Israel-Hamas war",israel conflict,"Palestinians flee Khan Younis, moving toward Rafah, in the wake of the Israeli ground operation, in the southern Gaza , on Thursday, January 25. Ibraheem Abu Mustafa/Reuters

As the Gaza war nears its fifth month, with more than 25,000 Palestinians – civilians and combatants – dead and Israel nowhere close to achieving its objective of destroying Hamas, no one seems to have come up with a concrete proposal that’s palatable to both parties to pause the conflict, let alone end it. But there are suggestions, however half-baked, from both sides, that show a willingness to talk.

Indeed, Qatar — the main go-between — says there are “serious discussions” with Israel and Hamas, and is receiving “constant replies” from both sides. They’re not “negotiations” yet, says the White House. But with indirect talks ongoing, we seem to be inching toward what Ofer Shelah, Senior Researcher with Israel’s Institute for National Security Studies (INSS), describes as a “Zopa” — a zone of possible agreement.

On Monday Axios reported Israel had proposed a two-month truce in exchange for the release of all the 100-plus hostages still held in Gaza. Later that day CNN learned that Mossad chief David Barnea had suggested allowing Hamas leaders to go into exile as part of a broader ceasefire.

On Tuesday, The Wall Street Journal said Hamas was now open to releasing some of the hostages in exchange for a pause in the fighting. And Reuters reported that Israel and Hamas had agreed in principle to a one-month truce, during which abductees would be freed and Palestinian prisoners held in Israeli jails released.

Keep reading more of this analysis on how Israel and Hamas may be inching toward a deal to end the war.","['war', 'hamas', '25', 'sides', 'reported', 'truce', 'palestinians', '2024', 'israeli', 'israelhamas', 'israel', 'gaza', 'pause']"
January 25 - 2024 campaign updates,election,"Former President Donald Trump arrives for a campaign event in Manchester, New Hampshire, on Saturday, January 20. Matt Rourke/AP

Donald Trump’s New Hampshire triumph puts him on a GOP primary tier few, if any, Republicans have reached. Unofficial returns at time of publication have the former president at about 55% of the vote.

He’s only the second nonincumbent Republican to win a majority of the GOP primary vote in New Hampshire in the modern era. The only other was Ronald Reagan in 1980, and Trump’s 55% surpasses Reagan’s 50.2%. He is also just the second nonincumbent Republican to win the New Hampshire primary twice in the modern era. The other Republican was John McCain.

The fact that Trump was able to win both Iowa and New Hampshire is quite unusual. No other nonincumbent Republican has ever done it. Mitt Romney in 2012 came the closest (winning New Hampshire but losing Iowa by 24 votes) – and he took less than 40% in New Hampshire and under 25% of the vote in Iowa.

Trump’s ability to win Iowa and New Hampshire with such ease tells you how strong his candidacy is among Republicans. He appeals to different parts of the party, as evidenced by the fact that he succeeded in two very different contests in two fairly different states:

Iowa is a low turnout caucus that engages most with core party activists, dominated by conservatives and evangelical Christians. Few non-Republicans participate.

is a low turnout caucus that engages most with core party activists, dominated by conservatives and evangelical Christians. Few non-Republicans participate. New Hampshire sees a relatively high turnout primary that openly invites registered independents (or undeclared voters). The Granite State voters are more moderate, far less religious and wealthier than Iowa's.

Put another way, New Hampshire should have been a far worse state for Trump. His biggest backers look a lot more like the Iowa electorate than New Hampshire voters: conservatives, religious Republicans and Republicans of more modest financial means.

But none of that stopped Trump from pulling in the largest share of the vote for an non-incumbent in New Hampshire GOP primary history. It seems quite plausible at this point that Trump may pull off the ultimate historic GOP primary win: becoming the first non-incumbent Republican to go undefeated in all 50 states during the primary season.","['campaign', '25', 'primary', 'republican', 'nonincumbent', 'updates', 'iowa', 'trump', '2024', 'voters', 'republicans', 'hampshire', 'gop', 'win']"
Today’s new in 10 minutes,others,"CNN —

January 26, 2024

Today on CNN 10, a new study finds links between the average video game player and exposure to dangerous sound levels. Next break down the FAA’s plans to reintroduce 737 Max 9 airplanes to the skies after a terrifying emergency on an Alaska Airlines flight. And finally, we highlight NASA’s plans to take commercial flights supersonic. All that and more on this episode of CNN 10.

WEEKLY NEWS QUIZ

1. This adjective can be used to describe someone who is long-winded with their speech

2. What type of light can birds see but humans can’t?

3. What is the name of the rebel group that the US and UK launched attacks on to protect waterways in the Middle East?

4. The number of migrants crossing into the US from this country has recently spiked by more than 20 times the yearly average over the previous decade.

5. How much did it cost India to build the controversial and ornate Ram Janmabhoomi Mandir temple?

6. At what temperature does water freeze?

7. Which nation became the latest to land a spacecraft on the moon?

8. How many millions of hectares of natural habitat is the globe expected to lose to urban development by the end of the century?

9. How many US states have created official guidelines around the use of artificial intelligence in classrooms so far?

10. What invention did Sierra Space and NASA team up to intentionally explode in a stress test?

Click here to access the printable version of today’s CNN 10 transcript

CNN 10 serves a growing audience interested in compact on-demand news broadcasts ideal for explanation seekers on the go or in the classroom. The show’s priority is to identify stories of international significance and then clearly describe why they’re making news, who is affected, and how the events fit into a complex, international society.

Thank you for using CNN 10","['cnn', 'yearly', 'average', 'minutes', 'todays', 'international', 'version', 'using', 'water', 'video', 'waterways', 'plans']"
"U.S. and China are working to make the business environment less volatile, Beijing says",economy,"The flags of China, U.S. and the Chinese Communist Party are displayed in a flag stall at the Yiwu Wholesale Market in Yiwu, Zhejiang province, China, May 10, 2019. Aly Song | Reuters

BEIJING — China and the U.S. are working toward creating a more stable and predictable environment for businesses, Chinese Commerce Minister Wang Wentao said Friday. Since U.S. Commerce Secretary Gina Raimondo's visit to China last summer, the two countries have agreed to hold regular meetings at the ministerial level and below. Wang and Raimondo had a call earlier this month. That communication ""strives to create a good environment for the two countries' economic and trade cooperation, especially in stabilizing business expectations,"" Wang said in Mandarin at a press conference, translated by CNBC. He did not mention U.S. tech restrictions, but said sanctions bring business uncertainty and ""greatly increase"" compliance costs. In the last two years, the Biden administration has issued export controls that limit the ability of Chinese companies to buy advanced tech such as high-end semiconductors from U.S. businesses. Washington has said it's a way to keep China's military from accessing cutting-edge tech, while maintaining areas of cooperation.

watch now

""We always believe that the common interests of China and the U.S. in economy and trade are far greater than their differences,"" Wang said. U.S. and other foreign businesses in China have long complained of challenges to doing business in the Asian country, such as unequal treatment of foreign companies compared to local players. More recently, international businesses have said Beijing's vague rules around data transfer out of the country make operations difficult. In the fall, the Cyberspace Administration of China (CAC) issued new draft rules that said no government oversight is needed for data exports if regulators haven't stipulated that it qualifies as ""important."" The move was widely seen as an improvement for foreign businesses, but no official policy has yet followed. When asked Friday for an update on data rules, Wang only said the ""primary ministry is stepping up efforts to release them."" He said China has acted on a 24-point plan released last summer for supporting foreign businesses in the country — with implementation or progress on ""more than 60%"" of the measures. Wang also said the ministry has set up regular channels for foreign businesses to share feedback. When Raimondo visited China last year, she called for more action to improve predictability for U.S. businesses in China. Referring to the 24-point plan, she had said: ""Any one of those could be addressed as a way to show action.""

Growing international challenges

China's economic growth has slowed from the double-digit pace of prior decades to a 5.2% increase in 2023. Growth is expected to slow further this year. Wang told reporters Friday that this year, the international trade situation would be ""even more complex and severe,"" pointing to factors such as increased geopolitical tensions. Foreign direct investment fell by 8% to 1.13 trillion yuan ($160 billion) in 2023, the lowest level in three years, according to Ministry of Commerce data. It did not specify how much the U.S. invested in China, while noting France and the U.K. saw the largest increases in such investment last year.","['trade', 'foreign', 'rules', 'beijing', 'business', 'ministry', 'working', 'international', 'volatile', 'businesses', 'data', 'wang', 'environment', 'china', 'tech']"
LVMH shares jump 8% as earnings point to luxury sector resilience,economy,"Bernard Arnault, Chairman and CEO of LVMH Moet Hennessy Louis Vuitton, speaks during a press conference to present the 2023 annual results of LVMH in Paris, France, January 25, 2024.

LVMH shares jumped more than 8% on Friday morning, after the world's largest luxury group posted higher-than-expected sales for 2023 and raised its annual dividend.

The owner of Louis Vuitton, Moët & Chandon and Hennessy, as well as brands including Givenchy, Bulgari and Sephora, on Thursday night reported sales amounting to 86.15 billion euros ($93.34 billion) for 2023, exceeding consensus forecasts and equating to 13% organic growth from the previous year.

Organic revenue was up 10% in the fourth quarter.

The result was boosted in particular by 14% annual growth in the critical fashion and leather goods sector, along with 11% growth in perfumes and cosmetics. Wines and spirits meanwhile posted a 4% decline.

""Our performance in 2023 illustrates the exceptional appeal of our Maisons and their ability to spark desire, despite a year affected by economic and geopolitical challenges,"" Bernard Arnault, chairman and CEO of LVMH, said in a statement.

""While remaining vigilant in the current context, we enter 2024 with confidence, backed by our highly desirable brands and our agile teams.""

After a boom during the pandemic, the luxury sector endured a rough end to 2023 as challenging geopolitical and macroeconomic conditions weighed on consumer spending, particularly in the U.S. and China.

LVMH in April 2023 became the first European company to surpass $500 billion in market value, but a share price decline over the last six months allowed it to be eclipsed as Europe's largest company by Danish pharmaceutical giant Novo Nordisk.

British luxury brand Burberry earlier this month issued a profit warning in response to slowing demand, as the balloon in high-end spending that peaked during the pandemic loses air. At the time, the news sent Burberry shares plunging and dragged down the wider sector.

Yet luxury stocks broadly advanced on Thursday as investors took heart from LVMH's reassuring results. Burberry's own shares were up 1.7% Friday morning.

Javier Gonzalez Lastra, portfolio manager of the Tema Luxury ETF, told CNBC on Thursday that investors are trying to gauge where the bottom of the earnings cycle revision is for the luxury sector. He predicted that earnings are ""likely to get tougher"" through the first half of 2024 because of last year's unusually high annual comparisons.

Arnault, however, is pinning some hope on LVMH's partnership with the Paris 2024 Olympics, which he said ""provides a new opportunity to reinforce our global leadership position in luxury goods and promote France's reputation for excellence around the world.","['sector', 'annual', 'luxury', 'lvmh', 'earnings', 'growth', 'billion', 'shares', 'resilience', '2024', 'point', '2023', 'vuitton', 'jump']"
Shein rejects Amazon 'clone' talk as it prepares for U.S. listing,economy,"Chinese-founded online retail giant Shein is not positioning itself as an Amazon ""clone,"" the company told CNBC, ahead of its hotly anticipated U.S. public listing later this year.

The e-commerce company's product categories are likely to ""grow over time,"" as the business entrenches itself deeper into the U.S., Peter Pernot-Day, head of strategic communications, U.K. and U.S., said. But that expansion will vary from market to market, and skew heavily toward Generation Z — born between the late 1990s and early 2000s — and younger Millennial consumers, who were born between the early 1980s and late 1990s.

""I don't see us an an Amazon clone per se,"" Pernot-Day said at the World Economic Forum in Davos, Switzerland.

The Singapore-headquartered fashion brand has already ventured into product lines as diverse as electronics, sports and home appliances, after winning over millions of U.S. shoppers during the pandemic with its low-cost and seemingly limitless clothing lines.

It is now forecast to supersede high street rivals H&M and Zara owner Inditex, with estimated revenues of $24 billion in the first nine months of 2023, according to tech publication The Information.

""One of the things we are very good at is measuring and responding to customer demand and that flexibility allows us to tailor our offering to different geographies,"" Pernot-Day said.

""So, product categories vary across these markets. But the core point is that being receptive and responsive to Generation Z, younger Millennial shoppers, is something that leads to growth,"" he added.","['late', 'shein', 'amazon', 'clone', 'product', 'vary', 'listing', 'talk', 'millennial', 'pernotday', 'z', 'market', 'generation', 'prepares', 'younger', 'rejects', 'shoppers']"
AI hiring frenzy to fuel layoffs in other tech segments as firms strive to balance costs,economy,"Stick figures image displayed on a laptop screen and a binary code displayed on a phone screen are seen in this illustration photo taken in Krakow, Poland on January 24, 2023. (Photo by Jakub Porzycki/NurPhoto via Getty Images)

As tech firms prioritize investments into artificial intelligence and go on a hiring spree, other segments are likely to see layoffs continue into 2024, according to industry experts.

More than 20,000 tech employees have already lost jobs so far in 2024, according to tracker layoffs.fyi.

""Google and the rest of Big Tech are betting big on AI while cutting back on non-strategic areas. Layoffs will continue to happen for Big Tech in some areas while the hiring frenzy in AI will be unprecedented as this arms race continues across the tech world,"" Dan Ives, managing director at Wedbush Securities, told CNBC.

Google CEO Sundar Pichai last week warned employees there would be more job cuts this year as the company continues to shift investments toward AI.

""We have ambitious goals and will be investing in our big priorities this year,"" Pichai wrote in a Jan. 17 memo to employees, adding that the management was gearing up to share its AI goals and objectives for 2024. ""The reality is that to create the capacity for this investment, we have to make tough choices,"" Pichai said.

Google slashed hundreds of jobs earlier this month in its push for efficiency and to focus on its ""biggest product priorities,"" as it plays catch up with rival Microsoft which has integrated ChatGPT into Bing search, and prompted Google to beef up its search engine with AI features.","['hiring', 'segments', 'firms', 'pichai', 'employees', 'search', 'priorities', 'frenzy', 'costs', 'ai', 'balance', '2024', 'big', 'layoffs', 'screen', 'fuel', 'strive', 'tech']"
'Unshirkable responsibility': China's financial institutions urged to support property developers,economy,"China's financial institutions should provide strong support to the country's beleaguered real estate sector and not ""blindly withdraw"" financing for projects facing difficulties, according to a senior Chinese financial regulatory official.

His strongly worded comments follow the Chinese central bank's largest cut in mandatory cash reserves for banks since 2021. Beijing also recently released a fresh policy mandate aimed at easing the cash crunch for Chinese developers, which have struggled under the crackdown on the sector's bloated debt.

""The financial industry has an unshirkable responsibility and must provide strong support,"" said Xiao Yuanqi, deputy director of China's National Financial Regulatory Administration, at a press conference in Beijing on Thursday, according to a CNBC translation.

""We all know the real estate industry chain is long and involves a wide range of areas. It has an important impact on the national economy and is closely related to people's lives,"" he added.

China's real estate troubles are closely intertwined with local government finances since they typically relied on land sales to developers for a significant portion of revenue.","['provide', 'estate', 'support', 'unshirkable', 'property', 'institutions', 'chinas', 'financial', 'developers', 'urged', 'real', 'national', 'chinese', 'responsibility', 'strong', 'industry', 'regulatory']"
Commodity markets are in a 'super squeeze' — and higher prices could be here to stay,economy,"SUIXI, CHINA - DECEMBER 30: An employee works on the production line of aluminum foil at a workshop of Anhui Limu New Material Technology Co., Ltd on December 30, 2023 in Suixi County, Huaibei City, Anhui Province of China. (Photo by Li Xin/VCG via Getty Images) Vcg | Visual China Group | Getty Images

Global commodity markets are in a ""super squeeze"" amid supply disruptions and lack of investment — and it's only going to get worse as geopolitical and climate risks exacerbate the situation, HSBC said. ""For some time now we have described global commodity markets as being in a 'super-squeeze,'"" its chief economist Paul Bloxham told CNBC. A commodity ""super squeeze"" is denoted by higher prices driven by supply constraints more than a robust growth in demand, he explained. ""If it's a supply constraint that's driving high commodity prices, it's a very different story for global growth,"" said via Zoom. Higher prices as a result of a super squeeze are ""not as positive."" ""We see the deeper 'super-squeeze' factors on the supply-side as still set to play a key role in keeping commodity prices elevated,"" he said, outlining factors like political uncertainties, climate change and the lack of investments into the green energy transition.

The super squeeze could be deeper, or more prolonged if geopolitical, climate change or energy transition related supply disruptions are larger than expected. Paul Bloxham HSBC chief economist

Geopolitical risks include the ongoing Israel-Hamas conflict in Gaza and the Ukraine war, which have hampered global trade, as seen in shipping disruptions from the recent Houthi attacks in the Red Sea. Another reason is climate change, which disrupts supply chains as well as commodities supply, especially in the agricultural space. ""The super squeeze could be deeper, or more prolonged if geopolitical, climate change or energy transition related supply disruptions are larger than expected,"" he added.

Lack of investments

The world's pursuit of a net-zero carbon future is fueling demand for energy transition metals such as copper and nickel, Bloxham pointed out. However, there are insufficient investments allocated to procuring these critical minerals, leading to a sharper supply squeeze on energy transition metals — in particular copper, aluminum and nickel, he said. As energy transition ramps up, markets could be looking at a shortage of a slew of metals like graphite, cobalt, copper, nickel and lithium in the next decade, the Energy Transitions Commission said in a report in July.

watch now

At the recent COP28 climate change conference, more than 60 countries backed a plan to triple global renewable energy capacity by 2030, in what is largely deemed as a step forward for energy transition and a further boost in demand for metals required for that transition. ""Large-scale mining projects can take 15-20 years, and the last decade has seen a lack of investment in exploration and production for key energy transition materials,"" the report said. Annual capital investments in these metals averaged $45 billion in the last two decades, and must rise to around $70 billion each year through to 2030 to ensure an ample stream of supply, according to the ETC report.

Commodities are notoriously volatile asset classes, with a long history that is prone to a short squeeze and the current landscape points to more of the same. Brian Luke S&P Dow Jones Indices

Without more investment in new capacities, supply will be constrained, HSBC's Bloxham said, adding that ""for any given amount of demand,"" it should be expected that commodity prices will stay more elevated than in the past. ""That seems to be playing out across many of the commodities at the moment."" Technology could also be a gamechanger if a development came along and made it much easier to extract the metals used in the battery space, Bloxham added.

Iron ore site in Australia. Ian Waldie | Bloomberg via Getty Images

He did not say how long it will take global commodity markets to move out of the squeeze, but one way out of it — which would also push commodity prices lower — is a ""bigger and deeper [economic] downturn globally,"" he said. ""Commodities are notoriously volatile asset classes, with a long history that is prone to a short squeeze and the current landscape points to more of the same,"" said Brian Luke, senior director and head of commodities at S&P Dow Jones Indices. He highlighted that extreme weather events and geopolitics have also impacted the agricultural and energy commodity baskets.

Metals most impacted

Analysts say metals will likely see the most upside. Bloxham noted that aside from clean energy metals, iron ore was also on his list due to falling inventory and a lack of investments into expanding capacity. Iron ore has seen a price jump of over 24% in the last year, according to data from FactSet. The benchmark 62%-grade iron ore last traded at $135.48 per ton. ""The reason why [iron ore] has a sudden squeeze-up is because inventory has been very low,"" said Bank of America Securities' head of Asia -Pacific basic materials, Matty Zhao. She noted that in spite of China's property crisis, steel production has continued, fueling demand for iron ore and coking coal, which are integral to steelmaking. China, which makes around 55% of the world's steel, produced 874.7 million tons of steel in the first 10 months of 2023 — up 1.4% across the same period in 2022.

What squeeze?","['stay', 'supply', 'metals', 'transition', 'super', 'ore', 'higher', 'energy', 'bloxham', 'squeeze', 'markets', 'climate', 'prices', 'commodity']"
